experience_level,employment_type,position,salary_in_usd,remote_ratio,company_size,pais_empleado,pais_empleador
SE,FT,Data Engineer,200000,100,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,106200,100,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,195300,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,149000,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Engineer,183300,100,M,NorthAmerica,NorthAmerica
MI,FT,Data Engineer,117000,100,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,213850,100,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,136800,100,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,146550,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,101200,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,200700,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,175800,0,M,NorthAmerica,NorthAmerica
EX,FT,Data Engineer,275000,0,M,NorthAmerica,NorthAmerica
EX,FT,Data Engineer,195000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,155000,100,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,93000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,215000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,200000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,140000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,110000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,223000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,191000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,210000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,106200,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,350000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,300000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,350000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,300000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,150250,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,120000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,175000,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,130000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,331200,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,163000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,240000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,200000,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,140000,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,117000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,200000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,170000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,200000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,170000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,153738,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,107617,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,235400,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,213146,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,166000,100,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,103000,100,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,217000,100,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,127000,100,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,335720,100,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,163064,100,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,110000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,85000,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Scientist,75000,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Scientist,65250,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,120000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,100000,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Scientist,142000,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Scientist,99336,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,115350,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,88300,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Scientist,166700,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Scientist,101100,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Analyst,136800,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Analyst,79500,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,183000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,125000,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Scientist,112003,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Scientist,81456,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,239000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,196000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,266000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,218000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,212000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,174000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,170000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,48000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Analyst,119681,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Analyst,72534,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Analyst,218500,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Analyst,105000,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Analyst,162800,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Analyst,97700,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Analyst,162800,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Analyst,97700,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Analyst,62000,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Analyst,44000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,64480,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,50162,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Analyst,115500,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Analyst,98175,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Analyst,232000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Analyst,129000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,146100,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,91500,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Scientist,174200,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Scientist,109000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,85000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,70000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,308000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,224000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,269500,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,196000,0,M,NorthAmerica,NorthAmerica
EN,FT,Engineer,77722,0,M,Europe,Europe
EN,FT,Engineer,77722,0,M,Europe,Europe
MI,FT,Software Engineer,145400,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,81600,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,203200,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,162600,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,293000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,213000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,215000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,185000,0,M,NorthAmerica,NorthAmerica
SE,FT,Engineer,174980,0,M,NorthAmerica,NorthAmerica
SE,FT,Engineer,94220,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,126000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,119000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,300000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,200000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,300000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,200000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,200000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,150000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,142000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,86000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,278250,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,159000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,255000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,204000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,205000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,165000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,220000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,210000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,200200,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,178360,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,290180,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,286859,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,164000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,111000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,200000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,139000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,181000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,126000,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Scientist,244000,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Scientist,166000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,133750,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,95500,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,133750,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,95500,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,133750,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,95500,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,133750,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,95500,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,234600,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,170200,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,340000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,286000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,340000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,286000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,215400,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,100600,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,138000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,106500,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,220500,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,196000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,200000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,150000,0,M,NorthAmerica,NorthAmerica
EN,FT,Software Engineer,74551,0,M,Europe,Europe
EN,FT,Software Engineer,74551,0,M,Europe,Europe
MI,FT,Software Engineer,88607,0,M,Europe,Europe
MI,FT,Software Engineer,69620,0,M,Europe,Europe
SE,FT,Software Engineer,132000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,82500,0,M,NorthAmerica,NorthAmerica
EX,FT,Software Engineer,185000,100,M,NorthAmerica,NorthAmerica
EX,FT,Software Engineer,143000,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,72700,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,55700,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,200000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,175000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,304200,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,139900,0,M,NorthAmerica,NorthAmerica
EX,FT,Software Engineer,372000,0,M,NorthAmerica,NorthAmerica
EX,FT,Software Engineer,248000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,170000,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,112500,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,164000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,111000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,229000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,156000,0,M,NorthAmerica,NorthAmerica
EN,FT,Software Engineer,90000,0,M,NorthAmerica,NorthAmerica
EN,FT,Software Engineer,54000,0,M,NorthAmerica,NorthAmerica
EN,FT,Software Engineer,94120,0,M,NorthAmerica,NorthAmerica
EN,FT,Software Engineer,90500,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,69000,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,58000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,175000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,160000,100,M,NorthAmerica,NorthAmerica
EN,FT,Software Engineer,74551,0,M,Europe,Europe
EN,FT,Software Engineer,74551,0,M,Europe,Europe
MI,FT,Software Engineer,90000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,70000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,294667,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,235733,0,M,NorthAmerica,NorthAmerica
EN,FT,Software Engineer,215400,0,M,NorthAmerica,NorthAmerica
EN,FT,Software Engineer,100600,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,185000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,160000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,258500,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,188000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,106136,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,70087,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,160000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,120000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,169700,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,93300,0,M,NorthAmerica,NorthAmerica
EX,FT,Software Engineer,300000,0,M,NorthAmerica,NorthAmerica
EX,FT,Software Engineer,203500,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,200000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,137510,0,M,NorthAmerica,NorthAmerica
EN,FT,Software Engineer,89000,100,M,NorthAmerica,NorthAmerica
EN,FT,Software Engineer,70000,100,M,NorthAmerica,NorthAmerica
EN,FT,Software Engineer,122000,100,M,NorthAmerica,NorthAmerica
EN,FT,Software Engineer,94000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,305000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,244000,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,240000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,130000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,216000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,147000,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Engineer,95684,0,M,Europe,Europe
MI,FT,Data Engineer,63637,0,M,Europe,Europe
SE,FT,Software Engineer,222750,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,148500,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,149600,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,108800,0,M,NorthAmerica,NorthAmerica
MI,FT,Engineer,90280,0,M,NorthAmerica,NorthAmerica
MI,FT,Engineer,55520,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,132700,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,73800,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,93570,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,61000,100,M,NorthAmerica,NorthAmerica
EX,FT,Software Engineer,296610,0,M,NorthAmerica,NorthAmerica
EX,FT,Software Engineer,164780,0,M,NorthAmerica,NorthAmerica
MI,FT,Engineer,84810,0,M,Europe,Europe
MI,FT,Engineer,68354,0,M,Europe,Europe
SE,FT,Data Scientist,274000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,147600,0,M,NorthAmerica,NorthAmerica
SE,FT,Engineer,140000,0,M,NorthAmerica,NorthAmerica
SE,FT,Engineer,70000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,156800,100,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,114000,100,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,342045,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,201203,0,M,NorthAmerica,NorthAmerica
EN,FT,Data Engineer,95000,100,M,NorthAmerica,NorthAmerica
EN,FT,Data Engineer,85000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,165600,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,89000,100,M,NorthAmerica,NorthAmerica
MI,FT,Engineer,68000,0,M,NorthAmerica,NorthAmerica
MI,FT,Engineer,54000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,205875,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,137250,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,233500,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,169800,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,184700,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,138500,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,269640,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,163420,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,166320,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,104080,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,90000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,75000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,215000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,135000,100,M,NorthAmerica,NorthAmerica
EX,FT,Software Engineer,153300,0,M,NorthAmerica,NorthAmerica
EX,FT,Software Engineer,134000,0,M,NorthAmerica,NorthAmerica
EN,FT,Software Engineer,90000,0,M,NorthAmerica,NorthAmerica
EN,FT,Software Engineer,52000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,85000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,70000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,250377,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,139874,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,183800,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,110300,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,287300,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,160900,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,250377,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,139874,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,323400,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,216750,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Engineer,223500,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Engineer,119200,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,228200,100,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,91300,100,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,230180,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,164415,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Engineer,231250,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Engineer,111000,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Engineer,140200,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Engineer,104600,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,195700,100,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,142300,100,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,186600,100,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,124400,100,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,191869,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,125629,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,203000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,101000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,170000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,130000,0,M,NorthAmerica,NorthAmerica
MI,FT,Engineer,103576,100,M,NorthAmerica,NorthAmerica
MI,FT,Engineer,60927,100,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,166810,100,M,NorthAmerica,NorthAmerica
SE,FT,Data Engineer,98124,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,160050,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,105300,0,M,NorthAmerica,NorthAmerica
EN,PT,Software Engineer,30000,0,M,NorthAmerica,NorthAmerica
EN,PT,Software Engineer,24000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Analyst,164000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Analyst,82000,0,M,NorthAmerica,NorthAmerica
MI,FT,Data Scientist,214000,100,M,NorthAmerica,NorthAmerica
MI,FT,Data Scientist,134000,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,122200,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,67600,100,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,95000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,85000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,237100,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,111100,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,258000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,166000,0,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,161700,100,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,117600,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,142250,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,100000,100,M,NorthAmerica,NorthAmerica
EX,FT,Software Engineer,205000,0,M,NorthAmerica,NorthAmerica
EX,FT,Software Engineer,165000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,175000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,160000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,114000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,69000,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,127800,0,M,NorthAmerica,NorthAmerica
MI,FT,Software Engineer,104600,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,108127,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,98297,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,130000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,110000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,166000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,87000,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,195378,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,144410,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,140600,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,93800,100,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,220000,100,M,NorthAmerica,NorthAmerica
SE,FT,Data Scientist,159750,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,180000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,165000,0,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,152109,100,M,NorthAmerica,NorthAmerica
SE,FT,Software Engineer,103711,100,M,NorthAmerica,NorthAmerica
SE,FT,Engineer,175700,100,M,NorthAmerica,NorthAmerica
SE,FT,Engineer,106900,100,M,NorthAmerica,NorthAmerica
